职位,工作地址,公司全称,薪水,学历,工作经验,行业标签
蚂蚁财富技术应届生招聘_Java,上海·浦东新区·陆家嘴,蚂蚁金服,15-16K,本科,在校/应届,互联网
应届毕业生java,上海·浦东新区·陆家嘴,长亮科技,7-10K·13薪,本科,在校/应届,计算机软件
Java,上海·闵行区·莘庄,哈啰出行,16-25K·16薪,本科,在校/应届,互联网
JAVA实习生,上海·浦东新区·陆家嘴,蚂蚁金服,6-10K,不限,在校/应届学历,互联网
Java,上海·徐汇区·徐家汇,墨非信息,7-12K,本科,在校/应届,互联网
Java Web后端开发（上海）,上海,上海格尔软件,8-13K,本科,在校/应届,信息安全
java研发工程师,上海·宝山区·通河,京东集团,6-11K,本科,在校/应届,电子商务
应届生/实习生--前端/java/安卓/ios,上海·浦东新区·张江,兴业数金,12-24K,本科,在校/应届,互联网
Java初级开发/实习生,上海,瑞熙智能科技,6-8K,本科,在校/应届,计算机软件
阿里本地生活校园招聘营销技术部-Java研发,上海·普陀区·长征,阿里巴巴集团,15-30K·16薪,本科,在校/应届,互联网
Java,上海,中安科技,9-14K,本科,在校/应届,计算机软件
Java/Android工程师（实习）,上海·浦东新区·张江,兴业数金,12-24K,本科,在校/应届,互联网
IT开发工程师-JAVA（2022届）,上海,华勤技术股份有限公司,8-13K·15薪,本科,在校/应届,智能硬件
JAVA大数据软件工程师,上海·杨浦区·五角场,萌泰,10-20K,本科,在校/应届,数据服务
Java游戏服务端开发,上海·闵行区·七宝,免免,5-10K,本科,在校/应届,游戏
java.NET开发工程师,上海·徐汇区·徐家汇,奥软信息,4-7K,本科,在校/应届,计算机软件
软件开发工程师C/C++/JAVA/Python,上海·浦东新区·金桥,华为技术有限公司,16-30K·14薪,硕士,在校/应届,计算机软件
Java工程师（校招）,上海·浦东新区·张江,兴业数金,13-26K,本科,在校/应届,互联网
Java/Android工程师,上海·浦东新区·张江,兴业数金,12-24K,本科,在校/应届,互联网
Android/Java岗位,上海·浦东新区·张江,兴业数金,12-24K,本科,在校/应届,互联网
软件开发工程师,上海·浦东新区·金桥,华为,15-30K·14薪,本科,在校/应届,计算机软件
开发工程师,上海·浦东新区·张江,阿里云,20-21K·13薪,硕士,在校/应届,互联网
后端开发工程师-抖音电商,上海·杨浦区·五角场,北京字节跳动,20-30K,本科,在校/应届,移动互联网
Java,上海·闵行区·春申,泽它信息,5-10K,本科,在校/应届,数据服务
java开发（校招）,上海·浦东新区·张江,兴业数金,15-28K,本科,在校/应届,互联网
Java开发工程师,上海·浦东新区·联洋,阿里集团,15-25K·16薪,本科,在校/应届,移动互联网
飞天云混合云存储管控开发工程师,上海·浦东新区·张江,阿里云,15-25K·16薪,本科,在校/应届,互联网
Java开发工程师,上海·浦东新区·曹路,兴业数金,15-25K·18薪,本科,在校/应届,互联网
Java工程师,上海·浦东新区·张江,兴业数金,12-24K,本科,在校/应届,互联网
Java工程师,上海·浦东新区·张江,兴业数金,12-24K,本科,在校/应届,互联网
蚂蚁消费金融2021届补招,上海·浦东新区·陆家嘴,蚂蚁集团,21-40K·16薪,本科,在校/应届,互联网
java开发工程师,上海·浦东新区·张江,阿里云,20-30K·18薪,硕士,在校/应届,互联网
应届校招--JAVA开发/安卓/IOS开发/前端,上海·浦东新区·张江,兴业数金,13-25K,本科,在校/应届,互联网
Java开发工程师,上海·浦东新区·张江,兴业数金,15-25K,本科,在校/应届,互联网
java工程师（校招）,上海·浦东新区·张江,兴业数金,12-24K,本科,在校/应届,互联网
JAVA工程师/Android工程师（应届/实习）,上海·浦东新区·张江,兴业数金,14-28K,本科,在校/应届,互联网
Java,上海·闵行区·吴泾,蓝鼎世纪,4-6K,本科,在校/应届,咨询
Java-金融软件开发工程师,上海·黄浦区·五里桥,点石瑞凯,8-12K·13薪,本科,在校/应届,计算机软件
JAVA工程师-校园招聘,上海·虹口区·虹口足球场,高顿教育集团,12-18K,本科,在校/应届,在线教育
物联网研发工程师,上海·浦东新区·北蔡,禾苗通信,13-15K·15薪,本科,在校/应届,通信/网络设备
物联网研发工程师,上海·浦东新区·北蔡,禾苗通信,11-15K·15薪,本科,在校/应届,通信/网络设备
Java,上海·浦东新区·康桥,猿礼软件,7-8K,大专,在校/应届,计算机软件
Java软件工程师（应届生）-硕士以上,上海·闵行区·吴泾,冷水河,8-13K·13薪,硕士,在校/应届,数据服务
软件工程师,上海·浦东新区·北蔡,禾苗通信,12-18K·13薪,本科,在校/应届,通信/网络设备
后端开发工程师,上海·浦东新区·张江,兴业数金,13-18K,本科,在校/应届,互联网
Java开发工程师,上海·浦东新区·陆家嘴,兴业数金,13-20K·16薪,本科,在校/应届,互联网
应届校招,上海·浦东新区·陆家嘴,蚂蚁金服,20-30K·16薪,本科,在校/应届,互联网
JAVA开发工程师,上海·虹口区·虹口足球场,高顿教育集团,14-18K,本科,在校/应届,在线教育
Java开发工程师,上海·闵行区·浦江,上海海鼎,7-12K·13薪,本科,在校/应届,计算机软件
软件开发工程师,上海,锋泾集团,10-15K,本科,在校/应届,其他行业
JAVA开发工程师,上海·浦东新区·陆家嘴,宇信科技,8-12K,本科,在校/应届,计算机软件
开放银行JAVA工程师（应届）,上海·浦东新区·张江,兴业数金,14-16K·16薪,本科,在校/应届,互联网
Java开发工程师,上海·浦东新区·唐镇,兴业数金,15-20K,本科,在校/应届,互联网
Java开发工程师,上海,树维信息,9-14K·14薪,本科,在校/应届,计算机软件
初级开发工程师,上海·浦东新区·塘桥,兴业数金,10-15K·16薪,本科,在校/应届,互联网
JAVA开发,上海·杨浦区·东外滩,XTransfer,10-15K·15薪,本科,在校/应届,互联网金融
Java开发工程师,上海·浦东新区·张江,兴业数金,15-20K,本科,在校/应届,互联网
Java开发工程师,上海·浦东新区·张江,兴业数金,10-12K·17薪,本科,在校/应届,互联网
JAVA开发工程师（21届）(J12923),上海·徐汇区·田林,龙旗科技,8-10K,本科,在校/应届,通信/网络设备
应用开发工程师-日语,上海·杨浦区·五角场,IBM,7-10K·13薪,本科,在校/应届,互联网
Java开发工程师,上海·黄浦区·外滩,百联全渠道,10-15K·13薪,本科,在校/应届,O2O
2022届JAVA后端实习生[J862068],上海,驿申,2-4K·13薪,大专,在校/应届,互联网
研发（实习生）,上海,上海易同,3-6K,本科,在校/应届,计算机软件
后台开发工程师（2021届应届生）(J22077),上海·长宁区·北新泾,携程集团,20-21K·15薪,本科,在校/应届,互联网
数据分析师,上海·浦东新区·金桥,华为,16-30K,本科,在校/应届,计算机软件
2021校招—管培生（技术研发方向）,上海·虹口区·北外滩,维信金科,15-25K,本科,在校/应届,互联网金融
阿里巴巴淘系技术部实习生招聘,上海·浦东新区·联洋,阿里集团,20-25K,本科,在校/应届,移动互联网
Java开发工程师,上海·浦东新区·张江,百度,15-21K·15薪,本科,在校/应届,互联网
Java软件开发工程师,上海·浦东新区·张江,花旗金融,15-18K,本科,在校/应届,计算机软件
服务端开发工程师,上海·徐汇区·漕河泾,网易有道,13-26K,不限,在校/应届学历,互联网
京东集团软件工程师,上海·长宁区·北新泾,京东集团,11-18K·14薪,本科,在校/应届,电子商务
数据开发,上海·杨浦区·五角场,bilibili,15-30K,本科,在校/应届,互联网
Java开发工程师,上海·浦东新区·塘桥,蓝鸽集团,12-20K·14薪,本科,在校/应届,计算机软件
初级Java开发工程师,上海·浦东新区·塘桥,上海华瑞银行,10-12K,本科,在校/应届,互联网金融
Java开发工程师,上海·普陀区·长风,上海地听,8-12K,本科,在校/应届,计算机软件
Java开发工程师,上海·普陀区·长风,上海地听,8-12K,本科,在校/应届,计算机软件
Java开发工程师,上海·长宁区·中山公园,锡若实业,6-9K,本科,在校/应届,电子商务
后端研发,上海·闵行区·吴泾,ZStack,12-15K·15薪,本科,在校/应届,计算机软件
Java开发工程师,上海,安托集团,8-12K,本科,在校/应届,计算机软件
软件开发工程师（2021届）,上海·浦东新区·张江,群硕软件,8-10K·13薪,本科,在校/应届,企业服务
Java开发工程师,上海·静安区·静安寺,科毅,5-10K,本科,在校/应届,计算机软件
项目实施工程师（2021届校招-上市公司）,上海·闵行区·浦江,泛微网络,7-8K·15薪,本科,在校/应届,计算机软件
java开发工程师（2021应届生）,上海,彩贝壳,10-15K·13薪,本科,在校/应届,移动互联网
Java开发工程师,上海·宝山区·高境,找油信息科技有限公司,10-15K,本科,在校/应届,互联网
Java工程师,上海·闵行区·龙柏,上海慧骋数据科技,8-12K,本科,在校/应届,数据服务
后端开发初级工程师,上海·闵行区·东兰路,远洲核信,5-7K,本科,在校/应届,计算机软件
春招Java开发工程师,上海·浦东新区·陆家嘴,积库,8-12K,本科,在校/应届,电子商务
Java开发工程师（应届）,上海·徐汇区·徐家汇,轻轻教育,11-20K·14薪,本科,在校/应届,培训机构
基础平台开发工程师-校招(J10183),上海·闵行区·华漕,永辉大科技,13-16K·16薪,本科,在校/应届,新零售
2022校园招聘研发提前批 实习,上海·闵行区·虹梅路,北京字节跳动,23-30K·15薪,本科,在校/应届,移动互联网
JAVA开发工程师【校招】,上海,翼支付,12-13K·13薪,本科,在校/应届,互联网金融
21年应届校招生-软件工程师,上海·浦东新区·陆家嘴,蚂蚁金服,15-25K·16薪,本科,在校/应届,互联网
网络安全工程师,上海·浦东新区·金桥,华为,16-30K,本科,在校/应届,计算机软件
前端开发-抖音电商,上海·杨浦区·五角场,北京字节跳动,20-40K,不限,在校/应届学历,移动互联网
通信技术工程师,上海·浦东新区·金桥,华为技术有限公司,15-22K,本科,在校/应届,计算机软件
芯片测试,上海·浦东新区·金桥,华为,16-30K,本科,在校/应届,计算机软件
web前端,上海·浦东新区·张江,兴业数金,12-24K,本科,在校/应届,互联网
淘宝消息平台，服务端开发，实习生,上海·浦东新区·联洋,阿里巴巴集团,8-12K,本科,在校/应届,互联网
Java开发,上海,考拉爱车,4-9K·13薪,本科,在校/应届,4S店/后市场
前端开发工程师,上海·杨浦区·东外滩,XTransfer,10-15K·15薪,本科,在校/应届,互联网金融
Java开发工程师,上海,华为,13-25K,本科,在校/应届,计算机软件
Java开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,15-25K,本科,在校/应届,互联网
前端实习生,上海·浦东新区·陆家嘴,蚂蚁金服,15-20K·15薪,本科,在校/应届,互联网金融
Java开发实习生,上海·闵行区·颛桥,ROSEWIL,6-7K,本科,在校/应届,计算机软件
阿里巴巴内推Java开发,上海·浦东新区·联洋,阿里巴巴集团,15-30K,本科,在校/应届,互联网
【22届阿里校招】java开发工程师,上海·浦东新区·联洋,阿里巴巴集团,15-25K,本科,在校/应届,互联网
研发工程师,上海·浦东新区·联洋,阿里巴巴集团,15-30K,本科,在校/应届,互联网
AI工程师-机器学习,上海·浦东新区·金桥,华为,16-30K,本科,在校/应届,计算机软件
支付宝-全球技术-无线部门-2021校园招聘,上海·浦东新区·陆家嘴,蚂蚁金服,15-25K·13薪,本科,在校/应届,互联网
应届开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,15-20K,不限,在校/应届学历,互联网
Java开发工程师,上海·徐汇区·徐家汇,猿晟,8-12K,本科,在校/应届,移动互联网
阿里巴巴淘系技术校招,上海·闵行区·华漕,阿里巴巴集团,20-35K,本科,在校/应届,互联网
应用开发工程师（项目管理方向）,上海,IBM,7-10K·13薪,本科,在校/应届,互联网
机器学习,上海·浦东新区·金桥,华为,18-35K,本科,在校/应届,计算机软件
Java开发工程师,上海·普陀区·长征,口碑,20-25K·15薪,本科,在校/应届,O2O
Java工程师,上海·闵行区·老闵行,玖镕科技,10-15K,本科,在校/应届,计算机软件
数据开发工程师,上海·杨浦区·东外滩,XTransfer,10-15K·15薪,本科,在校/应届,互联网金融
数据开发工程师,上海·浦东新区·曹路,兴业数金,13-18K,本科,在校/应届,互联网
软件开发工程师（管培生岗）,上海·浦东新区·塘桥,森浦Sumscope,13-15K·13薪,本科,在校/应届,数据服务
Java开发工程师,上海·浦东新区·八佰伴,支付宝,12-20K·15薪,本科,在校/应届,移动互联网
驻场运维开发工程师,上海·浦东新区·曹路,巨杉数据库,8-13K·14薪,本科,在校/应届,数据服务
后端开发(字节秋招提前批),上海·闵行区·虹桥,北京字节跳动,15-30K,本科,在校/应届,移动互联网
Support Associate,上海,SAP Labs,12-13K,本科,在校/应届,互联网
软件研发辅助,上海·静安区·闸北公园,慧泉软件,6-11K·13薪,本科,在校/应届,计算机软件
大数据BI工程师（应届生）,上海·浦东新区·航头,河姆渡,5-10K,本科,在校/应届,移动互联网
运维开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,10-20K,本科,在校/应届,互联网
2021校招-管培生（大数据方向）,上海·虹口区·北外滩,维信金科,15-18K,本科,在校/应届,互联网金融
软件算法-留学生校招,上海·浦东新区·金桥,华为技术有限公司,18-35K,本科,在校/应届,计算机软件
测试开发工程师,上海,百度,18-25K·20薪,本科,在校/应届,互联网
前端/移动端开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,18-30K·16薪,本科,在校/应届,互联网
软件工程师,上海·松江区·松江大学城,蓝鼎世纪,5-8K,本科,在校/应届,咨询
AI软件开发,上海·浦东新区·金桥,华为,16-30K,本科,在校/应届,计算机软件
计算机视觉,上海·浦东新区·金桥,华为,18-35K,本科,在校/应届,计算机软件
NLP算法工程师,上海·闵行区·浦江,泛微网络,15-30K·15薪,硕士,在校/应届,计算机软件
数据开发工程师,上海·浦东新区·金桥,华为,18-30K·14薪,本科,在校/应届,计算机软件
测试开发,上海·普陀区·长征,饿了么,15-20K·13薪,本科,在校/应届,O2O
测试开发工程师,上海·闵行区·虹桥,北京字节跳动,20-40K·16薪,本科,在校/应届,移动互联网
测试工程师,上海·浦东新区·张江,科磊半导体设备技术,13-19K·13薪,硕士,在校/应届,其他行业
SGS质优生（电子电气）,上海,SGS,10-15K,硕士,在校/应届,其他行业
平台前端/后端开发工程师,上海,友塔游戏,11-20K·14薪,本科,在校/应届,游戏
软件算法,上海·浦东新区·金桥,华为,13-26K,本科,在校/应届,计算机软件
硬件技术工程师--天线开发,上海·浦东新区·金桥,华为,16-30K,本科,在校/应届,计算机软件
测试开发工程师,上海·杨浦区·五角场,北京字节跳动,20-30K·15薪,本科,在校/应届,移动互联网
通信技术工程师,上海·浦东新区·金桥,华为,20-22K·14薪,本科,在校/应届,计算机软件
测试工程师,上海·杨浦区·五角场,北京字节跳动,20-30K·15薪,本科,在校/应届,移动互联网
Java开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,15-25K·16薪,本科,在校/应届,互联网
应届开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,15-25K·16薪,本科,在校/应届,互联网
【留学生】C/C++开发工程师_上海,上海·浦东新区·金桥,华为技术有限公司,20-35K,本科,在校/应届,计算机软件
项目工程师—校招,上海,上海海鼎,6-11K,本科,在校/应届,计算机软件
安卓应用软件开发工程师,上海·浦东新区·金桥,华为技术有限公司,18-35K,本科,在校/应届,计算机软件
软件工程师（Android）,上海·闵行区·浦江,上海海鼎,8-12K·13薪,本科,在校/应届,计算机软件
蚂蚁金服校招-软件开发、算法、测试工程师,上海·浦东新区·陆家嘴,蚂蚁胜信,25-40K·16薪,本科,在校/应届,移动互联网
JAVA开发管培生,上海·浦东新区·陆家嘴,艾融软件,12-20K,本科,在校/应届,互联网
通信算法,上海·浦东新区·金桥,华为,16-30K,本科,在校/应届,计算机软件
软件工程师,上海·浦东新区·北蔡,禾苗通信,10-12K·13薪,本科,在校/应届,通信/网络设备
开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,15-20K·16薪,本科,在校/应届,互联网金融
软件开发工程师,上海·浦东新区·金桥,华为技术有限公司,18-35K,本科,在校/应届,计算机软件
【留学生】解决方案测试工程师_上海,上海·浦东新区·金桥,华为技术有限公司,20-35K,本科,在校/应届,计算机软件
蚂蚁金服校招,上海·浦东新区·陆家嘴,蚂蚁金服,20-40K·13薪,本科,在校/应届,互联网
软件开发工程师,上海·浦东新区·金桥,华为,15-30K,本科,在校/应届,计算机软件
GIS开发工程师,上海·青浦区·徐泾,四象爱数,13-14K,硕士,在校/应届,计算机软件
java开发工程师,上海·浦东新区·世纪公园,菜鸟网络,3-6K,本科,在校/应届,互联网
中间件研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-30K·20薪,本科,在校/应届,移动互联网
服务端开发,上海·浦东新区·联洋,淘宝,20-24K,硕士,在校/应届,移动互联网
java开发工程师,上海·浦东新区·联洋,阿里集团,20-30K,本科,在校/应届,移动互联网
研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,14-20K·16薪,本科,在校/应届,互联网金融
算法工程师,上海·杨浦区·东外滩,XTransfer,10-15K·15薪,本科,在校/应届,互联网金融
Java开发工程师,上海·浦东新区·陆家嘴,腾研信息,5-8K,本科,在校/应届,计算机软件
安卓开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-35K·16薪,本科,在校/应届,互联网
软件开发工程师,上海·浦东新区·陆家嘴,支付宝,20-40K·16薪,不限,在校/应届学历,移动互联网
测试工程师,上海·杨浦区·东外滩,XTransfer,10-15K·15薪,本科,在校/应届,互联网金融
软件工程师,上海,Miebach,8-12K,本科,在校/应届,物流/仓储
信息技术开发岗,上海·浦东新区·花木,兴证全球基金,15-20K,本科,在校/应届,基金
【留学生校招】无线自动驾驶-测试工程师,上海·浦东新区·金桥,华为技术有限公司,20-30K·14薪,硕士,在校/应届,计算机软件
软件开发工程师,上海·浦东新区·金桥,华为,16-30K·14薪,本科,在校/应届,计算机软件
java开发工程师,上海·浦东新区·陆家嘴,支付宝,20-23K·13薪,硕士,在校/应届,移动互联网
百度App搜索端移动研发工程师（上海）,上海·浦东新区·张江,百度北京公司,18-28K·15薪,本科,在校/应届,互联网
【华为无线22届校招】java开发岗,上海·浦东新区·金桥,华为技术有限公司,15-20K·15薪,本科,在校/应届,计算机软件
Junior Software Engineer,上海·黄浦区·人民广场,爱克发医疗科技,8-13K,本科,在校/应届,计算机软件
Salesforce开发工程师,上海·浦东新区·陆家嘴,夏致云计算,4-6K,本科,在校/应届,企业服务
软件开发工程师,上海,LittleAdam,12-24K·14薪,本科,在校/应届,移动互联网
软件开发工程师-留学生校招,上海·浦东新区·金桥,华为技术有限公司,18-35K,本科,在校/应届,计算机软件
软件开发工程师,上海·浦东新区·金桥,华为,18-35K,本科,在校/应届,计算机软件
软件开发工程师,上海·浦东新区·金桥,华为,15-30K·14薪,硕士,在校/应届,计算机软件
Android软件工程师,上海·静安区·汶水路,格尔软件,12-20K,本科,在校/应届,信息安全
软件工程师,上海·浦东新区·北蔡,禾苗通信,10-12K·13薪,本科,在校/应届,通信/网络设备
通用软件开发,上海·浦东新区·金桥,华为,20-40K·15薪,硕士,在校/应届,计算机软件
软件开发工程师,上海·浦东新区·金桥,华为,16-30K·16薪,硕士,在校/应届,计算机软件
通用软件开发工程师,上海,华为,20-30K·14薪,本科,在校/应届,计算机软件
通用软件开发工程师,上海·浦东新区·金桥,华为,16-30K,本科,在校/应届,计算机软件
通用软件开发,上海·浦东新区·金桥,华为,20-35K·14薪,本科,在校/应届,计算机软件
软件工程师（通信方向）,上海,禾苗通信,10-15K·13薪,本科,在校/应届,通信/网络设备
