职位,工作地址,公司全称,薪水,学历,工作经验,行业标签
游戏开发工程师,上海·长宁区·仙霞,友塔游戏,12-20K,本科,在校/应届,游戏
测试开发,上海·普陀区·长征,饿了么,15-20K·13薪,本科,在校/应届,O2O
C/C++软件开发工程师,上海·浦东新区·张江,上海博达,10-15K,本科,在校/应届,通信/网络设备
Java开发工程师,上海·浦东新区·联洋,阿里集团,15-25K·16薪,本科,在校/应届,移动互联网
Java开发工程师,上海·浦东新区·联洋,阿里集团,15-25K·16薪,本科,在校/应届,移动互联网
软件开发&测试工程师,上海·浦东新区·金桥,华为,15-20K·16薪,本科,在校/应届,计算机软件
php开发工程师,上海·浦东新区·张江,巴乐兔,8-13K·13薪,本科,在校/应届,互联网
芯片设计后端工程师,上海·浦东新区·张江,比特大陆,20-35K·15薪,硕士,在校/应届,移动互联网
数据研发工程师,上海·浦东新区·联洋,阿里巴巴集团,15-30K·16薪,硕士,在校/应届,互联网
蚂蚁财富技术应届生招聘_Java,上海·浦东新区·陆家嘴,蚂蚁金服,15-16K,本科,在校/应届,互联网
测试开发工程师,上海·杨浦区·五角场,北京字节跳动,20-30K·15薪,本科,在校/应届,移动互联网
测试工程师,上海·杨浦区·五角场,北京字节跳动,20-30K·15薪,本科,在校/应届,移动互联网
平台前端/后端开发工程师,上海,友塔游戏,11-20K·14薪,本科,在校/应届,游戏
【留学生招聘】5G协议开发工程师-上海,上海·浦东新区·金桥,华为技术有限公司,19-35K,本科,在校/应届,计算机软件
前端开发_校招,上海·闵行区·合川路,今日头条,15-25K·15薪,本科,在校/应届,移动互联网
通信技术工程师,上海·浦东新区·金桥,华为,20-22K·14薪,本科,在校/应届,计算机软件
【留学生】C/C++开发工程师_上海,上海·浦东新区·金桥,华为技术有限公司,20-35K,本科,在校/应届,计算机软件
C++工程师,上海,擎朗智能,11-20K·15薪,本科,在校/应届,智能硬件
后端开发工程师,上海·浦东新区·张江,兴业数金,13-18K,本科,在校/应届,互联网
Android开发_校招,上海·闵行区·合川路,今日头条,15-25K,本科,在校/应届,移动互联网
Java开发工程师,上海,华为,13-25K,本科,在校/应届,计算机软件
iOS 开发工程师,上海·杨浦区·五角场,bilibili,15-28K·15薪,本科,在校/应届,互联网
软件工程师,上海·徐汇区·漕河泾,PFU,7-10K,本科,在校/应届,计算机软件
嵌入式软件工程师,上海,华为,16-30K·14薪,本科,在校/应届,计算机软件
无线通信工程师,上海·浦东新区·金桥,华为,18-20K·15薪,本科,在校/应届,计算机软件
研发岗 计算机机器人技术 博士后招聘,上海·浦东新区·周浦,SSME,15-20K,博士,在校/应届,医疗健康
物联网研发工程师,上海·浦东新区·北蔡,禾苗通信,11-15K·15薪,本科,在校/应届,通信/网络设备
校园招聘-音频算法工程师（芯片方向）,上海·浦东新区·张江,哲库,18-20K,硕士,在校/应届,电子/半导体/集成电路
嵌入式软件开发,上海·浦东新区·金桥,华为,20-40K·15薪,硕士,在校/应届,计算机软件
算法工程师实习生,上海·浦东新区·陆家嘴,支付宝,20-40K,硕士,在校/应届,移动互联网
Java研发工程师—2022届实习岗,上海,蚂蚁集团,18-20K,本科,在校/应届,互联网
华为软件开发工程师,上海·浦东新区·金桥,华为,20-25K,不限,在校/应届学历,计算机软件
前端工程师,上海,阿里巴巴集团,20-40K·13薪,本科,在校/应届,互联网
计算机视觉算法工程师,上海·徐汇区·徐家汇,媒智科技,20-40K·13薪,硕士,在校/应届,互联网
校园招聘-机器学习算法工程师（芯片方向）,上海·浦东新区·张江,哲库,18-20K·16薪,硕士,在校/应届,电子/半导体/集成电路
算法工程师,上海·浦东新区·张江,神顶科技,15-25K·15薪,本科,在校/应届,电子/半导体/集成电路
算法编程工程师,上海·浦东新区·三林,太叶科技,4-6K·16薪,本科,在校/应届,互联网
安卓开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-35K·16薪,本科,在校/应届,互联网
运筹优化算法工程师,上海·宝山区·通河,谷斗科技(上海)...,8-13K,硕士,在校/应届,计算机软件
算法工程师,上海·普陀区·长风,骏聿科技,14-20K·13薪,硕士,在校/应届,互联网
SLAM算法工程师（应届）,上海·浦东新区·张江,穿山甲机器人,10-15K·14薪,硕士,在校/应届,智能硬件
算法工程师,上海,曲速科技,15-30K·15薪,硕士,在校/应届,电子/半导体/集成电路
算法工程师,上海,巨霖,18-25K·13薪,硕士,在校/应届,电子/半导体/集成电路
计算机视觉算法工程师,上海·徐汇区·徐家汇,媒智科技,20-40K·13薪,硕士,在校/应届,互联网
智能驾驶系统工程师,上海·徐汇区·漕河泾,经纬恒润,16-21K,硕士,在校/应届,电子/半导体/集成电路
图像算法工程师,上海·徐汇区·徐家汇,媒智科技,20-40K·13薪,硕士,在校/应届,互联网
算法工程师,上海·闵行区·莘庄,上海趋研信息科技,10-15K,本科,在校/应届,数据服务
人工智能研究员,上海,华为,20-40K·24薪,博士,在校/应届,计算机软件
移动端开发,上海·闵行区·合川路,今日头条,15-25K,本科,在校/应届,移动互联网
软件开发工程师,上海·浦东新区·金桥,华为,16-30K·14薪,本科,在校/应届,计算机软件
嵌入式,上海·青浦区·青浦城区,上海创力,6-11K,本科,在校/应届,机械设备/机电/重工
算法工程师（控制）,上海·嘉定区·马陆,司南卫星导航技术,12-14K,硕士,在校/应届,电子/半导体/集成电路
算法工程师（生物力学方向）,上海·松江区·小昆山,安陟,15-25K,博士,在校/应届,互联网
安卓前端开发工程师-校招(J10091),上海·闵行区·华漕,永辉大科技,13-16K·16薪,本科,在校/应届,新零售
百度App搜索端移动研发工程师（上海）,上海·浦东新区·张江,百度北京公司,18-28K·15薪,本科,在校/应届,互联网
校园招聘-视频算法工程师（芯片方向）,上海·浦东新区·张江,哲库,18-20K·16薪,硕士,在校/应届,电子/半导体/集成电路
算法工程师,上海·长宁区·新华路,洪朴信息,9-14K,硕士,在校/应届,数据服务
软件开发工程师,上海·浦东新区·金桥,华为,18-35K,本科,在校/应届,计算机软件
算法工程师,上海,Versa,20-30K·13薪,硕士,在校/应届,互联网
算法工程师,上海·杨浦区·五角场,光际科技,9-12K,本科,在校/应届,智能硬件
路径规划控制算法工程师,上海,大轩,9-13K,本科,在校/应届,计算机软件
射频算法工程师,上海·浦东新区·张江,星思半导体,25-45K·13薪,本科,在校/应届,电子/半导体/集成电路
校招-音视频测评工程师,上海·杨浦区·五角场,声网Agora,11-22K,本科,在校/应届,移动互联网
软件开发工程师-留学生校招,上海·浦东新区·金桥,华为技术有限公司,18-35K,本科,在校/应届,计算机软件
软件开发工程师,上海·浦东新区·金桥,华为,15-30K·14薪,硕士,在校/应届,计算机软件
软件开发工程师C/C++/JAVA/Python,上海·浦东新区·金桥,华为技术有限公司,16-30K·14薪,硕士,在校/应届,计算机软件
算法工程师,上海·长宁区·北新泾,中颖电子,10-18K,硕士,在校/应届,电子/半导体/集成电路
5G产品研发工程师,上海·浦东新区·金桥,华为,15-30K,本科,在校/应届,计算机软件
无线通信工程师,上海·浦东新区·金桥,上海华为技术有限公司,15-30K·15薪,本科,在校/应届,通信/网络设备
研发岗 计算机视觉技术及应用 博士后招聘,上海,SSME,15-20K,博士,在校/应届,医疗健康
通用软件开发,上海·浦东新区·金桥,华为,20-40K·15薪,硕士,在校/应届,计算机软件
软件开发工程师,上海·浦东新区·金桥,华为,16-30K·16薪,硕士,在校/应届,计算机软件
3A算法工程师,上海·浦东新区·张江,爱芯科技,25-50K·14薪,本科,在校/应届,电子/半导体/集成电路
软件工程师,上海·浦东新区·周浦,上海万桥,4-9K,不限,在校/应届学历,移动互联网
ios开发,上海·浦东新区·张江,兴业数金,12-24K,本科,在校/应届,互联网
蚂蚁金服国际事业部2022届校园招聘,上海·浦东新区·陆家嘴,蚂蚁胜信,20-30K·15薪,本科,在校/应届,移动互联网
软件开发工程师、软件测试工程师,上海·浦东新区·金桥,华为,23-24K·16薪,本科,在校/应届,计算机软件
通用软件工程师,上海·浦东新区·金桥,华为,15-25K,本科,在校/应届,计算机软件
软件开发工程师,上海·浦东新区·金桥,华为,20-40K,硕士,在校/应届,计算机软件
算法工程师,上海·浦东新区·康桥,上海国微思尔芯,16-20K·14薪,本科,在校/应届,电子/半导体/集成电路
软件工程师,上海·浦东新区·金桥,凭伯远,7-12K,本科,在校/应届,计算机软件
深度学习算法工程师,上海·徐汇区·徐家汇,媒智科技,20-40K·13薪,硕士,在校/应届,互联网
通用软件开发工程师,上海·浦东新区·金桥,华为,16-30K,本科,在校/应届,计算机软件
通用软件开发工程师,上海,华为,20-30K·14薪,本科,在校/应届,计算机软件
嵌入式软件开发,上海·浦东新区·金桥,华为,20-35K·14薪,本科,在校/应届,计算机软件
通用软件开发,上海·浦东新区·金桥,华为,20-35K·14薪,本科,在校/应届,计算机软件
超声波感知与融合算法工程师（实习生）,上海,大轩,8-11K,本科,在校/应届,计算机软件
算法工程师,上海·普陀区·中山北路,上海麦默医疗科技,8-13K,硕士,在校/应届,医疗设备/器械
iOS开发_校招,上海·闵行区·合川路,今日头条,15-25K,本科,在校/应届,移动互联网
高级系统架构研究员,上海·浦东新区·金桥,华为,50-55K,博士,在校/应届,计算机软件
