职位,工作地址,公司全称,薪水,学历,工作经验,行业标签
HRBP,上海·静安区·南京西路,上海链家,11-13K·15薪,本科,在校/应届,工程施工
网页前端,上海·虹口区·四川北路,ALSOVALUE,5-8K,中技,在校/应届中专/,互联网
飞天云混合云存储管控开发工程师,上海·浦东新区·张江,阿里云,15-25K·16薪,本科,在校/应届,互联网
Java开发工程师,上海·浦东新区·塘桥,蓝鸽集团,12-20K·14薪,本科,在校/应届,计算机软件
BI工程师,上海·杨浦区·五角场,安硕信息技术,7-12K,本科,在校/应届,计算机软件
后端开发工程师,上海,携程集团,20-21K·15薪,本科,在校/应届,互联网
Java开发工程师,上海·浦东新区·唐镇,兴业数金,15-20K,本科,在校/应届,互联网
Java,上海·闵行区·莘庄,哈啰出行,16-22K·14薪,本科,在校/应届,互联网
Web前端开发工程师,上海·嘉定区·马陆,司南卫星导航技术,11-15K·13薪,硕士,在校/应届,电子/半导体/集成电路
软件开发&测试工程师,上海·浦东新区·金桥,华为,15-20K·16薪,本科,在校/应届,计算机软件
蚂蚁财富技术应届生招聘_Java,上海·浦东新区·陆家嘴,蚂蚁金服,15-16K,本科,在校/应届,互联网
C/C++软件开发工程师,上海·浦东新区·张江,上海博达,10-15K,本科,在校/应届,通信/网络设备
Java开发工程师,上海·宝山区·高境,找油信息科技有限公司,10-15K,本科,在校/应届,互联网
平台前端/后端开发工程师,上海,友塔游戏,11-20K·14薪,本科,在校/应届,游戏
前端开发工程师（2021届应届生）(J22078),上海·长宁区·北新泾,携程集团,20-25K·15薪,本科,在校/应届,互联网
web前端开发工程师,上海·杨浦区·新江湾城,玛瑙数据,6-8K,大专,在校/应届,数据服务
软件工程师（前端，后端，算法）,上海·浦东新区·陆家嘴,阿里巴巴集团,23-30K·16薪,硕士,在校/应届,互联网
初级.NET开发工程师,上海·虹口区·虹口足球场,上海点硕,6-8K,大专,在校/应届,互联网
Java,上海·徐汇区·徐家汇,墨非信息,7-12K,本科,在校/应届,互联网
阿里巴巴淘系技术部实习生招聘,上海·浦东新区·联洋,阿里集团,20-25K,本科,在校/应届,移动互联网
阿里巴巴2021届校园招聘-Java/测试/前端,上海·浦东新区·联洋,阿里巴巴集团,20-30K,本科,在校/应届,互联网
Java开发工程师,上海·浦东新区·陆家嘴,兴业数金,13-20K·16薪,本科,在校/应届,互联网
后端开发工程师,上海·浦东新区·张江,兴业数金,13-18K,本科,在校/应届,互联网
php开发工程师,上海·浦东新区·张江,巴乐兔,8-13K·13薪,本科,在校/应届,互联网
u3d开发工程师（实习）,上海·松江区·九亭,木圣科技,3-6K,大专,在校/应届,计算机软件
IOS开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-35K·16薪,本科,在校/应届,互联网
c++,上海,元芒数字,10-15K,本科,在校/应届,移动互联网
Web软件工程师,上海·浦东新区·张江,直觉信息,8-13K,本科,在校/应届,企业服务
Web前端开发工程师,上海·闵行区·交大师大,微务智能,5-8K,本科,在校/应届,智能硬件
信息安全测试助理工程师（应届）,上海,华人运通控股(上...,6-11K·14薪,本科,在校/应届,新能源
web前端开发工程师,上海·普陀区·长风,上海地听,7-9K·14薪,本科,在校/应届,计算机软件
软件开发工程师（管培生岗）,上海·浦东新区·塘桥,森浦Sumscope,13-15K·13薪,本科,在校/应届,数据服务
软件开发工程师,上海·浦东新区·金桥,华为,15-30K·14薪,硕士,在校/应届,计算机软件
Java开发工程师,上海·浦东新区·八佰伴,支付宝,12-20K·15薪,本科,在校/应届,移动互联网
前端开发_校招,上海·闵行区·合川路,今日头条,15-25K·15薪,本科,在校/应届,移动互联网
前端开发工程师,上海,季如科技,4-6K,本科,在校/应届,计算机软件
【华为无线22届校招】C/C++开发,上海·浦东新区·金桥,华为技术有限公司,15-25K·15薪,本科,在校/应届,计算机软件
u3d游戏开发工程师（初级）,上海·徐汇区·漕河泾,上海炫亮,8-13K,本科,在校/应届,游戏
技术支持（应届）,上海·静安区·镇宁路,鼎元科技,6-8K,本科,在校/应届,信息安全
IoT小程序容器开发,上海·浦东新区·陆家嘴,蚂蚁金服,17-30K·16薪,本科,在校/应届,互联网
软件开发工程师,上海,扩博,15-25K·13薪,本科,在校/应届,互联网
Python开发工程师,上海·浦东新区·陆家嘴,Bizec,8-13K,本科,在校/应届,计算机软件
前端开发工程师,上海·浦东新区·联洋,汉朔科技,15-22K,硕士,在校/应届,智能硬件
Java,上海·普陀区·长征,阿里集团,15-21K,本科,在校/应届,移动互联网
阿里淘系技术部22届春招-JAVA,上海·浦东新区·联洋,阿里巴巴集团,25-35K·16薪,本科,在校/应届,互联网
【22届阿里校招】java开发工程师,上海·浦东新区·联洋,阿里巴巴集团,15-25K,本科,在校/应届,互联网
研发工程师,上海·浦东新区·联洋,阿里巴巴集团,15-30K,本科,在校/应届,互联网
BIM工程师,上海·徐汇区·漕河泾,信息产业电子设计院,6-10K,本科,在校/应届,工程施工
支付宝-全球技术-无线部门-2021校园招聘,上海·浦东新区·陆家嘴,蚂蚁金服,15-25K·13薪,本科,在校/应届,互联网
客户助理,上海·浦东新区·陆家嘴,招商银行信用卡中心,13-26K,大专,在校/应届,互联网金融
软件（java，前端，测试）实习生,上海·浦东新区·三林,策普信息,3-5K,本科,在校/应届,计算机软件
Java开发工程师,上海·普陀区·长征,口碑,20-25K·15薪,本科,在校/应届,O2O
后端开发工程师 （G21Q2002）,上海,Neo 智能经济,11-22K·17薪,本科,在校/应届,互联网
前端开发,上海,圆众,6-10K,本科,在校/应届,电子商务
大数据部门产品前台运营,上海·黄浦区·人民广场,尼尔森,7-9K,本科,在校/应届,数据服务
阿里巴巴淘系技术校招,上海·闵行区·华漕,阿里巴巴集团,20-35K,本科,在校/应届,互联网
研发工程师Java,上海·浦东新区·联洋,阿里巴巴集团,20-40K,本科,在校/应届,互联网
数据开发工程师【校招】,上海·虹口区·四川北路,翼支付,12-18K·13薪,本科,在校/应届,互联网金融
软件工程师（应届毕业生）,上海·杨浦区·新江湾城,上海凌极,10-15K·13薪,本科,在校/应届,计算机软件
研发工程师/后端开发工程师（应届生）,上海·杨浦区·东外滩,上海展湾信息科技,12-17K·13薪,本科,在校/应届,计算机软件
Java研发实习生,上海·浦东新区·陆家嘴,支付宝,15-30K,本科,在校/应届,移动互联网
前端web实习生,上海·浦东新区·张江,睿极智能,2-3K,本科,在校/应届,计算机软件
前端研发,上海·闵行区·吴泾,ZStack,8-13K·15薪,本科,在校/应届,计算机软件
数字IC工程师,上海,富瀚微电子,11-22K·14薪,本科,在校/应届,智能硬件
初级软件工程师,上海·长宁区·北新泾,乐树网络,11-20K,本科,在校/应届,游戏
后端设计工程师 (校招）,上海·浦东新区·张江,西人马科技,8-13K·14薪,本科,在校/应届,智能硬件
Python后端开发工程师（只看应届生）,上海·杨浦区·东外滩,上海展湾信息科技,12-17K·13薪,本科,在校/应届,计算机软件
软件开发工程师,上海,CASCO,12-17K·15薪,硕士,在校/应届,交通/运输
安全技术工程师,上海·宝山区·高境,纽盾股份,7-10K,本科,在校/应届,信息安全
数据分析 / 程序员前端 （应届毕业生）,上海·徐汇区·徐家汇,派鼎商务咨询,6-8K,本科,在校/应届,咨询
Java,上海·浦东新区·唐镇,兴业数金,10-15K·15薪,本科,在校/应届,互联网
Java工程师,上海·闵行区·老闵行,玖镕科技,10-15K,本科,在校/应届,计算机软件
Cocos2dx前端开发,上海·徐汇区·音乐学院,傲世堂,10-15K·13薪,本科,在校/应届,游戏
后端开发工程师,上海,上海展湾信息科技,13-18K·13薪,本科,在校/应届,计算机软件
Java/PHP工程师,上海·徐汇区·龙华,融然系元,7-12K,本科,在校/应届,计算机软件
整装实习生,上海·宝山区·大华,金丰木业,4-9K,大专,在校/应届,建材
电气技术员,上海·松江区·小昆山,理想晶延,6-8K·13薪,本科,在校/应届,新能源
小程序开发工程师,上海·长宁区·新华路,上海御宜,6-11K,本科,在校/应届,医疗/护理/卫生
安卓前端开发工程师-校招(J10091),上海·闵行区·华漕,永辉大科技,13-16K·16薪,本科,在校/应届,新零售
博士校招-芯片系统架构工程师,上海·浦东新区·张江,哲库,20-30K·16薪,本科,在校/应届,电子/半导体/集成电路
后端开发工程师,上海·徐汇区·徐家汇,上海吉世代网络科...,15-30K,本科,在校/应届,社交网络
BI工程师,上海·闵行区·虹桥,启高科技,6-8K·13薪,本科,在校/应届,计算机服务
助理工程师,上海·浦东新区·张江,青藤云安全,5-7K,本科,在校/应届,互联网
Java开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,15-25K·16薪,本科,在校/应届,互联网
Android研发工程师,上海,聊聊科技,10-15K·13薪,本科,在校/应届,移动互联网
初级软件工程师,上海·浦东新区·张江,七剑软件,6-7K·13薪,本科,在校/应届,计算机软件
后端研发工程师（应届&实习）,上海·徐汇区·徐家汇,上海吉世代网络科...,15-30K,本科,在校/应届,社交网络
JavaScript,上海·浦东新区·张江,喜马拉雅,14-22K·14薪,本科,在校/应届,移动互联网
IC设计工程师,上海·浦东新区·张江,深聪半导体,8-12K,硕士,在校/应届,互联网
应届开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,15-25K·16薪,本科,在校/应届,互联网
前端实习工程师,上海·长宁区·中山公园,得否科技,6-11K,本科,在校/应届,互联网金融
Web H5 小程序开发,上海,上海默派,5-10K,大专,在校/应届,计算机软件
芯片设计工程师,上海·浦东新区·张江,伴芯科技,25-35K,硕士,在校/应届,电子/半导体/集成电路
储备研发工程师,上海·闵行区·颛桥,卡索航空,6-11K,本科,在校/应届,其他行业
开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,15-20K·16薪,本科,在校/应届,互联网金融
java研发工程师,上海·浦东新区·联洋,阿里巴巴集团,18-30K·13薪,本科,在校/应届,互联网
Web前端开发工程师,上海·杨浦区·新江湾城,光际科技,5-7K,本科,在校/应届,智能硬件
Java开发工程师,上海·浦东新区·陆家嘴,腾研信息,5-8K,本科,在校/应届,计算机软件
风控建模工程师【校招】,上海,翼支付,12-13K·13薪,本科,在校/应届,互联网金融
软件开发工程师,上海,华为,18-30K,本科,在校/应届,计算机软件
测试开发工程师,上海·普陀区·长征,口碑,20-30K·13薪,本科,在校/应届,O2O
前端开发工程师,上海·长宁区·仙霞,缔安科技,8-13K,本科,在校/应届,互联网
java开发工程师,上海·浦东新区·陆家嘴,支付宝,20-23K·13薪,硕士,在校/应届,移动互联网
PHP开发工程师,上海·长宁区·北新泾,上海若古,12-20K·14薪,本科,在校/应届,互联网
cocos前端开发,上海·浦东新区·张江,柒陆游戏,5-8K,不限,在校/应届学历,游戏
Junior Software Engineer,上海·黄浦区·人民广场,爱克发医疗科技,8-13K,本科,在校/应届,计算机软件
企业端销售,上海·黄浦区·南京东路,BOSS直聘,6-11K,本科,在校/应届,人力资源服务
蚂蚁金服校招,上海·浦东新区·陆家嘴,蚂蚁金服,20-40K·13薪,本科,在校/应届,互联网
技术研究工程师,上海·浦东新区·金桥,华为技术有限公司,15-30K,硕士,在校/应届,计算机软件
Java,上海·普陀区·长征,蚂蚁金服,15-30K·16薪,博士,在校/应届,互联网
阿里巴巴本地生活应届校招-java研发,上海·普陀区·长征,支付宝口碑,15-20K·15薪,本科,在校/应届,O2O
研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,14-20K·16薪,本科,在校/应届,互联网金融
GIS前端开发工程师,上海,上海地听,6-10K,本科,在校/应届,计算机软件
研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,14-20K·16薪,本科,在校/应届,互联网金融
GIS前端开发工程师,上海,上海地听,6-10K,本科,在校/应届,计算机软件
Java,上海·浦东新区·联洋,阿里集团,20-40K·16薪,本科,在校/应届,移动互联网
Java,上海·浦东新区·联洋,阿里集团,20-40K,本科,在校/应届,移动互联网
后端开发工程师,上海·徐汇区·漕河泾,焜耀网络科技,10-15K,本科,在校/应届,移动互联网
技术支持工程师,上海·杨浦区·鞍山,辰尚科技,4-5K,本科,在校/应届,新零售
半导体软件工程师,上海·浦东新区·张江,七剑软件,6-7K·13薪,本科,在校/应届,计算机软件
iOS研发工程师,上海,聊聊科技,10-15K·13薪,本科,在校/应届,移动互联网
C++ 前端软件开发工程师,上海·闵行区·吴泾,优层,11-16K,本科,在校/应届,计算机软件
驻场运维工程师,上海·长宁区·中山公园,听云,6-10K,本科,在校/应届,互联网
全栈开发工程师,上海·嘉定区·嘉定镇,上海联影,14-20K·14薪,硕士,在校/应届,医疗设备/器械
数据建模工程师【校招】,上海,翼支付,12-13K·13薪,本科,在校/应届,互联网金融
软件开发工程师,上海·浦东新区·金桥,华为,18-30K,本科,在校/应届,计算机软件
综电应用工程师-上海-应届,上海·徐汇区·漕河泾,润科通用,12-18K,硕士,在校/应届,仪器仪表/工业自动化
软件开发工程师,上海·嘉定区·华亭,上海联影,14-18K·14薪,硕士,在校/应届,医疗设备/器械
软件开发工程师,上海·浦东新区·金桥,华为,18-30K,本科,在校/应届,计算机软件
C++,上海·嘉定区·华亭,上海联影,12-16K,硕士,在校/应届,医疗设备/器械
PHP实习生,上海·浦东新区·张江,允度软件,7-10K,本科,在校/应届,移动互联网
Sedes工程师,上海·浦东新区·张江,灿芯半导体(上海...,5-10K·16薪,本科,在校/应届,电子/半导体/集成电路
Java/C++开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,3-8K,硕士,在校/应届,互联网
【校招】销售顾问,上海·黄浦区·外滩,BOSS直聘,6-11K,本科,在校/应届,人力资源服务
交易终端开发工程师C++,上海·浦东新区·张江,信易信息科技,8-15K,本科,在校/应届,计算机软件
web开发工程师,上海·浦东新区·陆家嘴,Bizec,6-10K,本科,在校/应届,计算机软件
医学编辑（西安分部）,上海·浦东新区·张江,博惠医药,7-10K·13薪,本科,在校/应届,医疗/护理/卫生
后端工程师,上海·浦东新区·张江,灿芯半导体(上海...,5-10K·16薪,本科,在校/应届,电子/半导体/集成电路
IOS开发应届生,上海·浦东新区·张江,麦广互娱,8-10K,本科,在校/应届,移动互联网
