职位,工作地址,公司全称,薪水,学历,工作经验,行业标签
GIS后端开发工程师,上海,上海地听,7-12K,本科,在校/应届,计算机软件
初级PHP后端开发工程师,上海·松江区·小昆山,正新集团,7-9K·13薪,本科,在校/应届,餐饮
游戏3D动作设计师,上海,上海炫亮,8-13K,本科,在校/应届,游戏
初级引擎项目工程师,上海,粒界上海,7-10K·14薪,本科,在校/应届,计算机软件
蚂蚁金服校招-软件开发、算法、测试工程师,上海·浦东新区·陆家嘴,蚂蚁胜信,25-40K·16薪,本科,在校/应届,移动互联网
中间件java研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-30K·20薪,本科,在校/应届,移动互联网
后端开发工程师（管培生）,上海,云之脉,6-10K·13薪,硕士,在校/应届,计算机软件
C++,上海·闵行区·老闵行,上海瀚宇,6-8K,本科,在校/应届,通信/网络设备
风控建模工程师【校招】,上海,翼支付,12-13K·13薪,本科,在校/应届,互联网金融
前端 后端,上海·长宁区·中山公园,静注投资,3-8K,不限,在校/应届学历,移动互联网
风控建模工程师【校招】,上海,翼支付,12-13K·13薪,本科,在校/应届,互联网金融
前端 后端,上海·长宁区·中山公园,静注投资,3-8K,不限,在校/应届学历,移动互联网
互联网产品运营,上海,上海睿悠,5-8K,不限,在校/应届学历,通信/网络设备
Java,上海·浦东新区·陆家嘴,蚂蚁金服,15-25K,本科,在校/应届,互联网
数据科学家,上海·杨浦区·东外滩,上海展湾信息科技,14-20K·13薪,硕士,在校/应届,计算机软件
2D特效设计师,上海·闵行区·合川路,梦求游戏,7-11K·13薪,大专,在校/应届,游戏
初级C++客户端程序,上海·嘉定区·南翔,硬壳网络,4-8K·13薪,本科,在校/应届,游戏
蚂蚁金服国际事业部2022届校园招聘,上海·浦东新区·陆家嘴,蚂蚁胜信,20-30K·15薪,本科,在校/应届,移动互联网
数据建模工程师【校招】,上海,翼支付,12-13K·13薪,本科,在校/应届,互联网金融
中间件java研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-30K·20薪,本科,在校/应届,移动互联网
中间件研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-30K·20薪,本科,在校/应届,移动互联网
2D动画师,上海·徐汇区·龙华,简畅,6-8K,大专,在校/应届,媒体
后端工程师,上海·杨浦区·五角场,光际科技,7-8K,本科,在校/应届,智能硬件
初级软件工程师,上海·浦东新区·塘桥,瞬已,5-10K,本科,在校/应届,通信/网络设备
房产管培生+8000保障月薪+提成年薪20+,上海·静安区·曹家渡,上海链家,15-30K,本科,在校/应届,工程施工
算法架构师,上海·浦东新区·金桥,华为技术有限公司,100-150K,博士,在校/应届,计算机软件
Quality Control / Inspector,上海·徐汇区·万体馆,NeonOrient,4-6K·13薪,本科,在校/应届,贸易/进出口
管培生+储备经理，可接受应届毕业生实习生,上海·浦东新区·洋泾,上海链家,11-19K,本科,在校/应届,工程施工
node后端开发,上海·杨浦区·五角场,小酱软件,18-35K,本科,在校/应届,互联网
高级系统架构研究员,上海·浦东新区·金桥,华为,50-55K,博士,在校/应届,计算机软件
软件开发工程师,上海·浦东新区·金桥,华为,15-30K·14薪,本科,在校/应届,计算机软件
软件开发工程师【无线】,上海·浦东新区·金桥,华为,15-30K·14薪,本科,在校/应届,计算机软件
中间件golang研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-30K·20薪,本科,在校/应届,移动互联网
中间件golang研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-30K·20薪,本科,在校/应届,移动互联网
IOS开发应届生,上海·浦东新区·张江,麦广互娱,8-10K,本科,在校/应届,移动互联网
